Name;Birthdate;Phone;Email;Skill
Robert Bob;1997.09.12;6201975555;bob2bob@gmail.com;IT
Zsuber Driver;1988.10.11;6404445555;uber@gmail.com;Driving
Hatori Hanso;1966.01.11;63012345;jean'dark@gmail.com;Smithing
Rinaldo Orson;2001.05.24;6709330000;D&D@gmail.com;IT,Weight lifting
Travis Rick Camel;1970.10.01;6301717171;mummy@citromail.hu;Horses
Dagobert McChips;1956.08.31;67001111;clap.clapgmail.com;Cooking,Catery
Bumfolt Rupor;1967.09.11;6201112233;HP123@mg.mh.hu;Marketing
Mad Marx;1965.09.11;6301442233;money.bad@gmail.com;Motorcycle Riding
Borland Ci Rattleneck;1980.11.02;36304225555;teller@citromail.hu;Bottleneck Construction
Baileys Margareti;1999.12.09;6209876543;b1gdr1nk@HOND.hu;Drinking,Catering
Larry Lipstick;1988.07.22;36206547382;baby@gmail.com;Hairstyling
Inigo Montoya;1977.04.11;367065682;pr3pare@gmail.to;Swordfighting
